20/03       1h,         installing and compiling
21/03       40min       test dataset creation
22/03       1h          more testing and dataset meddling (still not working)
23/03       4h          still trying, now creating randomized datasets
29/03       1h          start mockup window
30/03       2h          finish mockup window, start text interface "mockup"

03/04       1h          finish project document
05/04       0h30        project meeting
05/04       1h          implement csv file reading
07/04       1h30        implement basic text interface
            0h30        start real text interface implementation
